Código;Espacialidades;População total 2010;População rural 2010;População urbana 2010
76;Brasil;190755799;29830007;160925792
12;Acre;733559;201280;532279
27;Alagoas;3120494;822634;2297860
16;Amapá;669526;68490;601036
13;Amazonas;3483985;728495;2755490
29;Bahia;14016906;3914430;10102476
23;Ceará;8452381;2105824;6346557
53;Distrito Federal;2570160;87950;2482210
32;Espírito Santo;3514952;583480;2931472
52;Goiás;6003788;583074;5420714
21;Maranhão;6574789;2427640;4147149
51;Mato Grosso;3035122;552321;2482801
50;Mato Grosso do Sul;2449024;351786;2097238
31;Minas Gerais;19597330;2882114;16715216
15;Pará;7581051;2389492;5191559
25;Paraíba;3766528;927850;2838678
41;Paraná;10444526;1531834;8912692
26;Pernambuco;8796448;1744238;7052210
22;Piauí;3118360;1067401;2050959
33;Rio de Janeiro;15989929;525690;15464239
24;Rio Grande do Norte;3168027;703036;2464991
43;Rio Grande do Sul;10693929;1593638;9100291
11;Rondônia;1562409;413229;1149180
14;Roraima;450479;105620;344859
42;Santa Catarina;6248436;1000523;5247913
35;São Paulo;41262199;1676948;39585251
28;Sergipe;2068017;547651;1520366
17;Tocantins;1383445;293339;1090106
